Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Employee_Salary_Update,Chrome 131.0.0.0,,,26-12-2024 22:11:25,26-12-2024 22:42:12,30m - 47.102s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Login,Chrome 131.0.0.0,,,26-12-2024 22:11:25,26-12-2024 22:11:33,8.105s,PASSED
"comment(""Step 1: Open a new browser instance"")",Chrome 131.0.0.0,,,26-12-2024 22:11:25,26-12-2024 22:11:25,0.022s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,26-12-2024 22:11:25,26-12-2024 22:11:27,1.359s,PASSED
"comment(""Step 2: Navigate to the OrangeHRM login page"")",Chrome 131.0.0.0,,,26-12-2024 22:11:27,26-12-2024 22:11:27,0.002s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,26-12-2024 22:11:27,26-12-2024 22:11:30,3.525s,PASSED
"comment(""Step 3: Enter the username into the username input field"")",Chrome 131.0.0.0,,,26-12-2024 22:11:30,26-12-2024 22:11:30,0.004s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Username_username""), Username)",Chrome 131.0.0.0,,,26-12-2024 22:11:30,26-12-2024 22:11:31,1.244s,PASSED
"comment(""Step 4: Enter the encrypted password into the password input field"")",Chrome 131.0.0.0,,,26-12-2024 22:11:31,26-12-2024 22:11:31,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Password_password""), Password)",Chrome 131.0.0.0,,,26-12-2024 22:11:31,26-12-2024 22:11:32,0.279s,PASSED
"comment(""Step 5: Click the login button to submit the login form"")",Chrome 131.0.0.0,,,26-12-2024 22:11:32,26-12-2024 22:11:32,0.001s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/button_Login""))",Chrome 131.0.0.0,,,26-12-2024 22:11:32,26-12-2024 22:11:33,1.589s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Salary_Details,Chrome 131.0.0.0,,,26-12-2024 22:11:33,26-12-2024 22:11:54,20.535s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Salary_2/Page_OrangeHRM/a_PIM""))",Chrome 131.0.0.0,,,26-12-2024 22:11:33,26-12-2024 22:11:38,4.325s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Salary_2/Page_OrangeHRM/input""), Fullname)",Chrome 131.0.0.0,,,26-12-2024 22:11:38,26-12-2024 22:11:40,2.097s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Salary_2/Page_OrangeHRM/button_Search""))",Chrome 131.0.0.0,,,26-12-2024 22:11:40,26-12-2024 22:11:40,0.476s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Salary_2/Page_OrangeHRM/div_0034008""))",Chrome 131.0.0.0,,,26-12-2024 22:11:40,26-12-2024 22:11:42,1.479s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Salary_2/Page_OrangeHRM/a_Salary""))",Chrome 131.0.0.0,,,26-12-2024 22:11:42,26-12-2024 22:11:45,2.863s,PASSED
