Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Employee_Person_Details,Chrome 131.0.0.0,,,27-12-2024 07:43:31,27-12-2024 08:09:06,25m - 34.824s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Login,Chrome 131.0.0.0,,,27-12-2024 07:43:31,27-12-2024 07:43:48,17.162s,PASSED
"comment(""Step 1: Open a new browser instance"")",Chrome 131.0.0.0,,,27-12-2024 07:43:31,27-12-2024 07:43:31,0.027s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,27-12-2024 07:43:31,27-12-2024 07:43:33,1.605s,PASSED
"comment(""Step 2: Navigate to the OrangeHRM login page"")",Chrome 131.0.0.0,,,27-12-2024 07:43:33,27-12-2024 07:43:33,0.002s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,27-12-2024 07:43:33,27-12-2024 07:43:45,12.011s,PASSED
"comment(""Step 3: Enter the username into the username input field"")",Chrome 131.0.0.0,,,27-12-2024 07:43:45,27-12-2024 07:43:45,0.004s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Username_username""), Username)",Chrome 131.0.0.0,,,27-12-2024 07:43:45,27-12-2024 07:43:46,1.537s,PASSED
"comment(""Step 4: Enter the encrypted password into the password input field"")",Chrome 131.0.0.0,,,27-12-2024 07:43:46,27-12-2024 07:43:46,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Password_password""), Password)",Chrome 131.0.0.0,,,27-12-2024 07:43:46,27-12-2024 07:43:47,0.273s,PASSED
"comment(""Step 5: Click the login button to submit the login form"")",Chrome 131.0.0.0,,,27-12-2024 07:43:47,27-12-2024 07:43:47,0.002s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/button_Login""))",Chrome 131.0.0.0,,,27-12-2024 07:43:47,27-12-2024 07:43:48,1.591s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Person_Details,Chrome 131.0.0.0,,,27-12-2024 07:43:48,27-12-2024 07:44:05,17.127s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/span_PIM""))",Chrome 131.0.0.0,,,27-12-2024 07:43:48,27-12-2024 07:43:51,3.137s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input""), Employee_Fullname)",Chrome 131.0.0.0,,,27-12-2024 07:43:51,27-12-2024 07:43:53,2.060s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/button_Search""))",Chrome 131.0.0.0,,,27-12-2024 07:43:53,27-12-2024 07:43:54,0.462s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_0034008""))",Chrome 131.0.0.0,,,27-12-2024 07:43:54,27-12-2024 07:43:56,1.817s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/a_Personal Details""))",Chrome 131.0.0.0,,,27-12-2024 07:43:56,27-12-2024 07:43:59,3.056s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_concat(Driver, , s License Number)_ox_6ab805""), Driving_License_Number)",Chrome 131.0.0.0,,,27-12-2024 07:43:59,27-12-2024 07:44:02,2.885s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_License Expiry Date_oxd-input oxd-inp_5d7d79""), License_Expiry_Date)",Chrome 131.0.0.0,,,27-12-2024 07:44:02,27-12-2024 07:44:02,0.508s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_-- Select --""))",Chrome 131.0.0.0,,,27-12-2024 07:44:02,27-12-2024 07:44:02,0.294s,PASSED
"click(findTestObject(""Employee-Onboarding/Employee_Salary_Detail_Objects/Page_OrangeHRM/custom_object_for_dropdown"", [""value"":Employee_Nationality]))",Chrome 131.0.0.0,,,27-12-2024 07:44:02,27-12-2024 07:44:03,0.476s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_-- Select --_1""))",Chrome 131.0.0.0,,,27-12-2024 07:44:03,27-12-2024 07:44:03,0.474s,PASSED
"click(findTestObject(""Employee-Onboarding/Employee_Salary_Detail_Objects/Page_OrangeHRM/custom_object_for_dropdown"", [""value"":Employee_Marital_Status]))",Chrome 131.0.0.0,,,27-12-2024 07:44:03,27-12-2024 07:44:04,0.468s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_Date of Birth_oxd-input oxd-input--focus""), Employee_DOB)",Chrome 131.0.0.0,,,27-12-2024 07:44:04,27-12-2024 07:44:05,0.715s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/span_Male_oxd-radio-input oxd-radio-input--_b0de6e""))",Chrome 131.0.0.0,,,27-12-2024 07:44:05,27-12-2024 07:44:05,0.253s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/button_Save""))",Chrome 131.0.0.0,,,27-12-2024 07:44:05,27-12-2024 07:44:05,0.465s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Person_Details,Chrome 131.0.0.0,,,27-12-2024 07:44:05,27-12-2024 07:44:20,14.593s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/span_PIM""))",Chrome 131.0.0.0,,,27-12-2024 07:44:05,27-12-2024 07:44:07,1.294s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input""), Employee_Fullname)",Chrome 131.0.0.0,,,27-12-2024 07:44:07,27-12-2024 07:44:09,2.132s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/button_Search""))",Chrome 131.0.0.0,,,27-12-2024 07:44:09,27-12-2024 07:44:09,0.474s,PASSED
